Strike,Expiry,Leverage
2583.21,0.05,1.7484147391164317
2671.5248717948716,0.05,1.8455779350131638
2759.8397435897436,0.05,1.7852772314335243
2848.154615384615,0.05,1.5830739374985636
2936.4694871794873,0.05,1.3306859428908642
3024.784358974359,0.05,1.1622740183836109
3113.099230769231,0.05,1.1527800255288283
3201.4141025641024,0.05,1.3175082022778828
3289.7289743589745,0.05,1.5955973280112425
3378.043846153846,0.05,1.7931767960768976
3466.358717948718,0.05,1.8042077373610004
3554.6735897435897,0.05,1.703406704134052
3642.9884615384617,0.05,1.7125804102449398
3731.3033333333333,0.05,1.83310432848397
3819.618205128205,0.05,1.8249603231927234
3907.933076923077,0.05,1.6616360387636906
3996.247948717949,0.05,1.4182005899583132
4084.5628205128205,0.05,1.1955182388935464
4172.877692307692,0.05,1.031026990771799
4261.192564102565,0.05,0.9632048128841482
4349.507435897436,0.05,1.026698803863026
4437.822307692308,0.05,1.1642985140334101
4526.137179487179,0.05,1.2803488284182112
4614.452051282051,0.05,1.2881435245020842
4702.7669230769225,0.05,1.1949446109826556
4791.081794871795,0.05,1.0762151791637813
4879.3966666666665,0.05,1.0192974324840618
4967.711538461539,0.05,0.999992313288588
5056.026410256411,0.05,1.0323376285859354
5144.341282051282,0.05,1.1693982542980705
5232.656153846154,0.05,1.3927180093666882
5320.971025641025,0.05,1.6194423412197931
5409.285897435897,0.05,1.7522645051939527
5497.6007692307685,0.05,1.7883705658665272
5585.915641025641,0.05,1.7624115829238083
5674.230512820513,0.05,1.7124899301435732
5762.545384615385,0.05,1.646092219590412
5850.860256410257,0.05,1.6482521121370182
5939.175128205128,0.05,1.8068309726633973
6027.49,0.05,2.012237495845179
2583.21,0.1,1.6370925614529428
2671.5248717948716,0.1,1.7056613655911903
2759.8397435897436,0.1,1.6117371475631708
2848.154615384615,0.1,1.3444545248729913
2936.4694871794873,0.1,0.9992906717606789
3024.784358974359,0.1,0.7613545184686838
3113.099230769231,0.1,0.7460700927030204
3201.4141025641024,0.1,0.9724068200164577
3289.7289743589745,0.1,1.3393018433603072
3378.043846153846,0.1,1.5908623407581046
3466.358717948718,0.1,1.5957102284752567
3554.6735897435897,0.1,1.4507486895534034
3642.9884615384617,0.1,1.392844792827675
3731.3033333333333,0.1,1.4505263426532489
3819.618205128205,0.1,1.4199780502302541
3907.933076923077,0.1,1.2770714328301178
3996.247948717949,0.1,1.078971170696807
4084.5628205128205,0.1,0.9039932380546124
4172.877692307692,0.1,0.7941587920500932
4261.192564102565,0.1,0.7634679224619827
4349.507435897436,0.1,0.811299933244456
4437.822307692308,0.1,0.9493554175267134
4526.137179487179,0.1,1.1152228754444493
4614.452051282051,0.1,1.1967883735137255
4702.7669230769225,0.1,1.1872581636413002
4791.081794871795,0.1,1.1566982062002489
4879.3966666666665,0.1,1.1686702381431637
4967.711538461539,0.1,1.0963921228190838
5056.026410256411,0.1,0.9735893808836437
5144.341282051282,0.1,0.9915279953701336
5232.656153846154,0.1,1.2283004659720878
5320.971025641025,0.1,1.5435356895842018
5409.285897435897,0.1,1.696988258796801
5497.6007692307685,0.1,1.6815280939506856
5585.915641025641,0.1,1.587424999137712
5674.230512820513,0.1,1.5084871947762581
5762.545384615385,0.1,1.4291755787492306
5850.860256410257,0.1,1.4288041115033903
5939.175128205128,0.1,1.6066811503502219
6027.49,0.1,1.8359669594376191
2583.21,0.15,1.583811970043159
2671.5248717948716,0.15,1.5645498956945503
2759.8397435897436,0.15,1.4673901282611121
2848.154615384615,0.15,1.227861644631372
2936.4694871794873,0.15,0.8933836457877125
3024.784358974359,0.15,0.6503522690805768
3113.099230769231,0.15,0.6321727396870324
3201.4141025641024,0.15,0.854445700936256
3289.7289743589745,0.15,1.1914878985461281
3378.043846153846,0.15,1.4092373509835807
3466.358717948718,0.15,1.4056266711084453
3554.6735897435897,0.15,1.2743912983054804
3642.9884615384617,0.15,1.1428965833928313
3731.3033333333333,0.15,1.06145918256087
3819.618205128205,0.15,0.9950477280659082
3907.933076923077,0.15,0.941309182963356
3996.247948717949,0.15,0.8834424440801384
4084.5628205128205,0.15,0.7964417693744473
4172.877692307692,0.15,0.7310231919457792
4261.192564102565,0.15,0.7214893577718755
4349.507435897436,0.15,0.7756733520104828
4437.822307692308,0.15,0.9411069346322652
4526.137179487179,0.15,1.1514796573995891
4614.452051282051,0.15,1.2538927681806726
4702.7669230769225,0.15,1.2376321737858722
4791.081794871795,0.15,1.195891012582101
4879.3966666666665,0.15,1.2097886615842772
4967.711538461539,0.15,1.0921634098503283
5056.026410256411,0.15,0.8815416036922011
5144.341282051282,0.15,0.8424544980339612
5232.656153846154,0.15,1.0959328517745377
5320.971025641025,0.15,1.463811998301676
5409.285897435897,0.15,1.6264544938229177
5497.6007692307685,0.15,1.5755803636679524
5585.915641025641,0.15,1.4444849769965222
5674.230512820513,0.15,1.371125576770097
5762.545384615385,0.15,1.3136478303303047
5850.860256410257,0.15,1.308041949261173
5939.175128205128,0.15,1.4268180326760307
6027.49,0.15,1.5747889367849783
2583.21,0.2,1.5063514669339313
2671.5248717948716,0.2,1.4065431286693066
2759.8397435897436,0.2,1.340246560292252
2848.154615384615,0.2,1.177015165014743
2936.4694871794873,0.2,0.9005343168481639
3024.784358974359,0.2,0.6823781351188115
3113.099230769231,0.2,0.6633902982559672
3201.4141025641024,0.2,0.8533746092021829
3289.7289743589745,0.2,1.1125311838214447
3378.043846153846,0.2,1.2644795631580434
3466.358717948718,0.2,1.265075362148449
3554.6735897435897,0.2,1.2067184784986764
3642.9884615384617,0.2,1.0648020931823248
3731.3033333333333,0.2,0.8752749033879446
3819.618205128205,0.2,0.7626916616873083
3907.933076923077,0.2,0.7639082845247405
3996.247948717949,0.2,0.8116311460938953
4084.5628205128205,0.2,0.793252448497283
4172.877692307692,0.2,0.7565330228458128
4261.192564102565,0.2,0.7565824512849517
4349.507435897436,0.2,0.8187829437850794
4437.822307692308,0.2,0.9921055127631517
4526.137179487179,0.2,1.2049668746145747
4614.452051282051,0.2,1.29852537760846
4702.7669230769225,0.2,1.2637521703791852
